PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
20,https://utahwatergardens.com/water-treatments/springville,"Pond Services in Springville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/layton,"Pond Services in Layton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/clinton,"Pond Services in Clinton, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/south-ogden,"Pond Services in South Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/water-treatments/farr-west,"Pond Services in Farr West, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/clearfield,"Pond Services in Clearfield, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/murray,"Pond Services in Murray, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/sandy,"Pond Services in Sandy, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/draper,"Pond Services in Draper, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/spanish-fork,"Pond Services in Spanish Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/salt-lake-city,"Pond Services in Salt Lake City, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
