PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
20,https://utahwatergardens.com/service-areas/delta,"Pond Services in Delta, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1588,<truncated>,11186,167070174650149752,0,true
20,https://utahwatergardens.com/service-areas/highland,"Pond Services in Highland, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1588,<truncated>,11330,2436675744365409312,0,true
20,https://utahwatergardens.com/service-areas/dugway,"Pond Services in Dugway, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1591,<truncated>,11184,1394907607034931010,0,true
20,https://utahwatergardens.com/service-areas/erda,"Pond Services in Erda, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1595,<truncated>,11115,17767997329736842398,0,true
20,https://utahwatergardens.com/service-areas/salina,"Pond Services in Salina, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1590,<truncated>,11227,507895073657609852,0,true
20,https://utahwatergardens.com/service-areas/pleasant-view,"Pond Services in Pleasant View, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1668,<truncated>,11808,17245446772349937855,0,true
20,https://utahwatergardens.com/service-areas/lehi,"Pond Services in Lehi, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11100,14533594098072861601,0,true
20,https://utahwatergardens.com/service-areas/snyderville,"Pond Services in Snyderville, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1591,<truncated>,11474,14840049532964179891,0,true
20,https://utahwatergardens.com/service-areas/kearns,"Pond Services in Kearns, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1594,<truncated>,11229,14133784234470619776,0,true
20,https://utahwatergardens.com/service-areas/midway,"Pond Services in Midway, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1612,<truncated>,11353,1822206710904440606,0,true
20,https://utahwatergardens.com/service-areas/st-george,"Pond Services in St George, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1664,<truncated>,11409,1559866099649031491,0,true
20,https://utahwatergardens.com/service-areas/manti,"Pond Services in Manti, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1588,<truncated>,11186,3876097817543236956,0,true
20,https://utahwatergardens.com/service-areas/clearfield,"Pond Services in Clearfield, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1584,<truncated>,11442,2679132316790546933,0,true
20,https://utahwatergardens.com/service-areas/west-jordan,"Pond Services in West Jordan, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1645,<truncated>,11501,3546015880132559785,0,true
20,https://utahwatergardens.com/service-areas/saratoga-springs,"Pond Services in Saratoga Springs, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1650,<truncated>,11796,527862903139748004,0,true
20,https://utahwatergardens.com/service-areas/wendover,"Pond Services in Wendover, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1609,<truncated>,11513,2429110223678981443,0,true
