Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,No. of dofollow inlinks to target,No. of nofollow inlinks to target,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link internal
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/roy,200,Roy,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/washington-terrace,200,Washington Terrace,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/south-ogden,200,South Ogden,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/pleasant-grove,200,Pleasant Grove,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/clinton,200,Clinton,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/farr-west,200,Farr West,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/blog,200,https://utahwatergardens.com/blog/pond-filtration-systems-complete-guide,200,"Pond Filtration Systems: Complete Guide to Clean, Healthy Water",1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/south-ogden,200,South Ogden,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/murray,200,Murray,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/layton,200,Layton,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/provo,200,Provo,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/clearfield,200,Clearfield,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/salt-lake-city,200,Salt Lake City,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/lehi,200,Lehi,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/murray,200,Murray,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-supplies/water-treatments,200,https://utahwatergardens.com/water-treatments/clearfield,200,Clearfield,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/farmington,200,Farmington,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/cleaning,200,https://utahwatergardens.com/pond-cleaning/cottonwood-heights,200,Cottonwood Heights,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/bountiful,200,Bountiful,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-gallery,200,https://utahwatergardens.com/pond-services/american-fork,200,American Fork,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/clinton,200,Clinton,1,0,true,false,true,false,true
Href link,false,https://utahwatergardens.com/pond-services/maintenance,200,https://utahwatergardens.com/pond-maintenance/clearfield,200,Clearfield,1,0,true,false,true,false,true
